File versionlist for the KERN toolbox version 0.1 Saturday, June 12, 2004 at 15:34:42

ardKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linardKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
linearKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
mlpardKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
pskernelGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
pskernelObjective.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
rbfardKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
sqexpKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernDiagCompute.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernDiagGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernDisplay.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernExpandParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernExtractParam.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernGradX.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernGradient.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
whiteKernParamInit.m	 vs 1.2	 Sat Jun 12 14:29:05 2004
